Grant Title,Agency,Category,Short Summary,URL,Posted Date,Deadline,Days Left,Last Seen,Source,_id
,Agency for Health Care Research and Quality,,Description,https://simpler.grants.gov/opportunity/cca2fe0f-378e-405c-a379-104439288aa0,2021-12-08,2025-03-10,,2025-10-12,simpler.grants.gov,8877d822ffc57726
,National Institutes of Health,,Description,https://simpler.grants.gov/opportunity/748bc51b-4220-4298-ad1d-8071fb390b66,2025-06-10,2025-03-10,,2025-10-12,simpler.grants.gov,88c360b9f61c7fbe
,Centers for Disease Control and Prevention - ERA,,Description,https://simpler.grants.gov/opportunity/bdd8e776-8fcc-4740-a784-2f8a95921e0a,2022-07-11,2025-03-10,,2025-10-12,simpler.grants.gov,88dc78a3e10f1842
,U.S. National Science Foundation,,Description,https://simpler.grants.gov/opportunity/1a932b55-f5e4-4467-98d1-cadd948d6713,2025-05-23,2025-03-10,,2025-10-12,simpler.grants.gov,88ebc594f7f51f72
,National Institutes of Health,,Description,https://simpler.grants.gov/opportunity/07f98e93-9564-44cf-ab5c-69ca0cfa218f,2024-09-25,2025-03-10,,2025-10-12,simpler.grants.gov,8919a7ed036c4b06
,National Institutes of Health,,Description,https://simpler.grants.gov/opportunity/84650d31-209c-4f65-9264-c872352a7eee,2025-09-09,2025-03-10,,2025-10-12,simpler.grants.gov,895f862b1d2bd71d
,National Institutes of Health,,Description,https://simpler.grants.gov/opportunity/d96da39d-26ac-4ba7-a138-6634472f7a7f,2023-09-29,2025-03-10,,2025-10-12,simpler.grants.gov,8963acb2dc3f4693
,Environmental Protection Agency,,Description,https://simpler.grants.gov/opportunity/94a81533-0a1b-4101-bb23-fa130e5dcd44,2025-10-22,2025-03-10,,2025-10-12,simpler.grants.gov,897ba3399483d749
,National Institutes of Health,,Description,https://simpler.grants.gov/opportunity/2ea3951b-2890-455c-b746-820bf32f7560,2025-05-09,2025-03-10,,2025-10-12,simpler.grants.gov,8981f55425cc4b78
,National Institutes of Health,,Description,https://simpler.grants.gov/opportunity/f6c2eb20-da52-437e-a2d9-e3c3a760b07f,2024-11-18,2025-03-10,,2025-10-12,simpler.grants.gov,89f90e3295b769f4
,National Institutes of Health,,Description,https://simpler.grants.gov/opportunity/3c467ec1-a043-43ff-82ec-9aaccaf859d1,2024-09-25,2025-03-10,,2025-10-12,simpler.grants.gov,8a132609c3b9bf7d
,DARPA - Biological Technologies Office,,Description,https://simpler.grants.gov/opportunity/8899390a-91ee-47f3-b8f4-3a2998dfde40,2025-10-01,2025-03-10,,2025-10-12,simpler.grants.gov,8a5297a9de1fac50
,National Institutes of Health,,Description,https://simpler.grants.gov/opportunity/06c3f352-d7ff-488f-b286-f60d82943a92,2025-01-10,2025-03-10,,2025-10-12,simpler.grants.gov,8a584bc1919f6ec5
,National Institutes of Health,,Description,https://simpler.grants.gov/opportunity/830a45d7-9fd9-4000-bef1-4ec4e813664b,2024-11-05,2025-03-10,,2025-10-12,simpler.grants.gov,8a616a8d730469cc
,Administration for Community Living,,Description,https://simpler.grants.gov/opportunity/c08bbf7a-563b-4af4-a79b-b1cb7bdd71ad,2025-09-05,2025-03-10,,2025-10-12,simpler.grants.gov,8a6214b478e4c13d
,National Institutes of Health,,Description,https://simpler.grants.gov/opportunity/bf874762-8edc-4082-bb90-51eac078c860,2023-05-26,2025-03-10,,2025-10-12,simpler.grants.gov,8a8f984cb838fdb8
,National Institutes of Health,,Description,https://simpler.grants.gov/opportunity/06941ef8-f6c0-447d-9fd2-6d004389322e,2025-06-27,2025-03-10,,2025-10-12,simpler.grants.gov,8ac24a8143d2ee47
,National Institutes of Health,,Description,https://simpler.grants.gov/opportunity/fed072d0-e14c-4a30-b8f8-439328fd2c85,2024-10-29,2025-03-10,,2025-10-12,simpler.grants.gov,8aca9928e2f846c1
,National Park Service,,Description,https://simpler.grants.gov/opportunity/038c09d5-f7e7-4b31-ab4b-f6678d8761e8,2011-08-10,2025-03-10,,2025-10-12,simpler.grants.gov,8b22d541752ea32d
,National Institutes of Health,,Description,https://simpler.grants.gov/opportunity/50d300a2-0377-4080-8f75-bb859772abfc,2025-05-12,2025-03-10,,2025-10-12,simpler.grants.gov,8b30514c86b228ef
,National Institutes of Health,,Description,https://simpler.grants.gov/opportunity/89e9f115-5ae3-484c-86a1-c6f8b6fdae06,2025-09-23,2025-03-10,,2025-10-12,simpler.grants.gov,8b4d833ad9072b0b
,Administration for Children and Families - OFVPS,,Description,https://simpler.grants.gov/opportunity/7ab2e956-52f2-4c0d-9a3d-363f88f7794c,2024-07-25,2025-03-10,,2025-10-12,simpler.grants.gov,8bcbd5b55b2d4cf4
,U.S. National Science Foundation,,Description,https://simpler.grants.gov/opportunity/94d31f26-eb6c-4997-a666-756a4f4ed386,2025-03-16,2025-03-10,,2025-10-12,simpler.grants.gov,8d14a4d87967be2e
,National Institutes of Health,,Description,https://simpler.grants.gov/opportunity/95d8c541-2ee0-40cc-960c-61b524d2babd,2025-09-12,2025-03-10,,2025-10-12,simpler.grants.gov,8d41cc5af538c68b
,Advanced Research Projects Agency Energy,,Description,https://simpler.grants.gov/opportunity/cd4dd647-b2b4-49d9-aac3-0033d0eb434c,2023-11-09,2025-03-10,,2025-10-12,simpler.grants.gov,8d46e02f68329b99
,Administration for Community Living,,Description,https://simpler.grants.gov/opportunity/210d2660-75e0-43e8-a9f4-2b3ce77431ba,2025-05-16,2025-03-10,,2025-10-12,simpler.grants.gov,8d50942bdf0530ca
,National Institutes of Health,,Description,https://simpler.grants.gov/opportunity/d197a1f8-5a9a-4b17-a2e1-2d73b3ba7850,2024-10-01,2025-03-10,,2025-10-12,simpler.grants.gov,8d9370ffb6028ace
,National Institutes of Health,,Description,https://simpler.grants.gov/opportunity/0fd59028-511b-4bb2-958a-75cb11d17353,2025-06-12,2025-03-10,,2025-10-12,simpler.grants.gov,8dac4cba4ca3b31a
,National Institutes of Health,,Description,https://simpler.grants.gov/opportunity/5ed4cdfe-bc42-4ccb-b082-b0f0b4002bac,2024-10-22,2025-03-10,,2025-10-12,simpler.grants.gov,8db4f9eb0eeaa470
,National Institutes of Health,,Description,https://simpler.grants.gov/opportunity/15373c25-322a-433e-b21d-bf3fc77a80e3,2025-05-12,2025-03-10,,2025-10-12,simpler.grants.gov,8e3653a199936e57
,National Institutes of Health,,Description,https://simpler.grants.gov/opportunity/a5372826-8453-46de-8c64-5dd80e9da434,2024-11-22,2025-03-10,,2025-10-12,simpler.grants.gov,8eb8c1bf02f1003d
,Office of Juvenile Justice Delinquency Prevention,,Description,https://simpler.grants.gov/opportunity/ec1781e6-4ec7-4557-9900-547316da737a,2025-09-17,2025-03-10,,2025-10-12,simpler.grants.gov,8f2602b71f246436
,Centers for Disease Control and Prevention - ERA,,Description,https://simpler.grants.gov/opportunity/eac2a628-97a3-41aa-9820-4197974f0e92,2023-09-07,2025-03-10,,2025-10-12,simpler.grants.gov,8f499cf441f74e15
,U.S. Mission to Mauritius,,Description,https://simpler.grants.gov/opportunity/71449316-2031-41e5-8ebb-69313ff50988,2024-04-08,2025-03-10,,2025-10-12,simpler.grants.gov,8f7a26ecae1efb59
,National Institutes of Health,,Description,https://simpler.grants.gov/opportunity/ceefbb3b-51b5-4526-aafd-e8bd1879d4c3,2024-01-18,2025-03-10,,2025-10-12,simpler.grants.gov,8f813c0a370ffc69
,National Institutes of Health,,Description,https://simpler.grants.gov/opportunity/b0ee3f1a-589d-46e6-8447-74d6a4b9c2ef,2024-11-21,2025-03-10,,2025-10-12,simpler.grants.gov,8f895dc037f552c6
,National Institutes of Health,,Description,https://simpler.grants.gov/opportunity/44f14ea6-72c0-4d00-b888-0e62afbc63cd,2023-11-20,2025-03-10,,2025-10-12,simpler.grants.gov,8fce5f45d07f7c09
,National Institutes of Health,,Description,https://simpler.grants.gov/opportunity/9eef95f7-4437-45bc-810a-2514c89f8019,2025-05-13,2025-03-10,,2025-10-12,simpler.grants.gov,8fe765206000cd8f
,U.S. National Science Foundation,,Description,https://simpler.grants.gov/opportunity/66fe85df-7bdd-4d12-bfc4-3150ecb07066,2024-08-15,2025-03-10,,2025-10-12,simpler.grants.gov,9036beca003250ce
,National Institutes of Health,,Description,https://simpler.grants.gov/opportunity/93f3dc3f-dad2-496f-a8a7-bbed6d20e1db,2024-09-30,2025-03-10,,2025-10-12,simpler.grants.gov,90520ddd4bed6143
,U.S. National Science Foundation,,Description,https://simpler.grants.gov/opportunity/062ea7d2-e4fd-4d92-9861-982b713dba25,2011-08-08,2025-03-10,,2025-10-12,simpler.grants.gov,90604dbf66fc2409
,U.S. National Science Foundation,,Description,https://simpler.grants.gov/opportunity/3b532f3c-e668-47f2-b108-6a468aa9277d,2024-12-14,2025-03-10,,2025-10-12,simpler.grants.gov,90d3deead2ccfd3c
,National Park Service,,Description,https://simpler.grants.gov/opportunity/a71a4577-a972-4317-8fef-3700c84b1dec,2016-09-28,2025-03-10,,2025-10-12,simpler.grants.gov,90f80702f4c72f91
,Centers for Disease Control and Prevention - ERA,,Description,https://simpler.grants.gov/opportunity/884213ea-b324-42da-b8cf-733df39df1f6,2025-09-10,2025-03-10,,2025-10-12,simpler.grants.gov,91091fb1de84cc4f
,National Institutes of Health,,Description,https://simpler.grants.gov/opportunity/39082d33-81a4-4136-8e86-aa33bbfc438b,2024-11-07,2025-03-10,,2025-10-12,simpler.grants.gov,916fafd3605de656
,U.S. Mission to Indonesia,,Description,https://simpler.grants.gov/opportunity/b4dafa55-d80c-44eb-b09a-29914b5e2e34,2020-05-22,2025-03-10,,2025-10-12,simpler.grants.gov,91abfb92083dd345
,Bureau of Land Management,,Description,https://simpler.grants.gov/opportunity/208b9a8e-5bff-4b80-b713-4e597a525d5a,2020-03-16,2025-03-10,,2025-10-12,simpler.grants.gov,91b0fe359bdd94dc
,National Institutes of Health,,Description,https://simpler.grants.gov/opportunity/2cefef55-df48-49f9-a95a-7719dae29481,2025-06-27,2025-03-10,,2025-10-12,simpler.grants.gov,91b2e463f1a8b88c
,Forest Service,,Description,https://simpler.grants.gov/opportunity/6498d9cb-b0a5-4e0d-b1d2-69d6ddfd99dd,2022-09-01,2025-03-10,,2025-10-12,simpler.grants.gov,91cd7f2e0f061989
,National Institutes of Health,,Description,https://simpler.grants.gov/opportunity/98857886-def1-4563-8bf7-f7fa8787e5c5,2025-08-28,2025-03-10,,2025-10-12,simpler.grants.gov,91e3b3984da42307
,National Institutes of Health,,Description,https://simpler.grants.gov/opportunity/62055c6f-fb0d-4d3d-afd8-588672039c38,2025-07-08,2025-03-10,,2025-10-12,simpler.grants.gov,91f377c40372f4d1
,National Institutes of Health,,Description,https://simpler.grants.gov/opportunity/5aa9cabe-0695-413f-9348-1b6b387e505b,2024-04-26,2025-03-10,,2025-10-12,simpler.grants.gov,9202f14ca83ec9e2
,Office of the Assistant Secretary for Health,,Description,https://simpler.grants.gov/opportunity/d40414c8-6ebb-4e3a-a9e0-5bf7e0a40d63,2024-08-01,2025-03-10,,2025-10-12,simpler.grants.gov,9213908622be7b9f
,National Institutes of Health,,Description,https://simpler.grants.gov/opportunity/c0870ec4-90de-4aa7-8ab4-381603a9539c,2025-08-25,2025-03-10,,2025-10-12,simpler.grants.gov,92668e0bc2ef57ff
,National Institutes of Health,,Description,https://simpler.grants.gov/opportunity/9a7a8932-5cbb-4b38-8700-bdbe6f4fa303,2025-09-15,2025-03-10,,2025-10-12,simpler.grants.gov,9270194bebf6c3ef
,U.S. Mission to Egypt,,Description,https://simpler.grants.gov/opportunity/3b67e2c0-f0d7-44ac-b43e-3d4503b65c06,2025-04-23,2025-03-10,,2025-10-12,simpler.grants.gov,929c1929ea3bece0
,National Institutes of Health,,Description,https://simpler.grants.gov/opportunity/c428c562-2e7c-4e0c-8e4a-2648d364e15d,2025-08-28,2025-03-10,,2025-10-12,simpler.grants.gov,92a93df44496207f
,U.S. National Science Foundation,,Description,https://simpler.grants.gov/opportunity/847cbfa3-7f00-4b91-bd69-e0b7f5c676f3,2022-11-22,2025-03-10,,2025-10-12,simpler.grants.gov,92b7ffa61467fd76
,National Institutes of Health,,Description,https://simpler.grants.gov/opportunity/d474a720-1390-4443-a742-46a8e1d0502a,2025-05-27,2025-03-10,,2025-10-12,simpler.grants.gov,92f3b751fa77e9f1
,Dept of the Army -- Materiel Command,,Description,https://simpler.grants.gov/opportunity/ab5fa29f-4625-4afc-8c27-0832c7ab547d,2024-10-24,2025-03-10,,2025-10-12,simpler.grants.gov,936430abe273a6ac
,Administration for Community Living,,Description,https://simpler.grants.gov/opportunity/ea1826a2-184a-4226-ae38-1cbbda34196f,2025-09-05,2025-03-10,,2025-10-12,simpler.grants.gov,9374a3329e5f61e1
,National Institutes of Health,,Description,https://simpler.grants.gov/opportunity/c72602c1-8777-4f1f-b2b7-6138dfd7fe36,2024-11-25,2025-03-10,,2025-10-12,simpler.grants.gov,937fe44bdff036b7
,U.S. National Science Foundation,,Description,https://simpler.grants.gov/opportunity/6e32869b-eedc-4cf9-bf79-ceab04147b50,2024-09-26,2025-03-10,,2025-10-12,simpler.grants.gov,938ec0a8464af713
,Agency for Health Care Research and Quality,,Description,https://simpler.grants.gov/opportunity/f31adf9d-3fe9-4ff5-95f0-c3a2e320d092,2023-08-22,2025-03-10,,2025-10-12,simpler.grants.gov,93db2caa7c87f695
,Department of Housing and Urban Development,,Description,https://simpler.grants.gov/opportunity/30afb670-0944-4568-aa83-26e747705c9c,2025-09-09,2025-03-10,,2025-10-12,simpler.grants.gov,93e5b7ed2dcb9dfa
,U.S. National Science Foundation,,Description,https://simpler.grants.gov/opportunity/6e15562d-d3f1-46e3-b7a8-f21ad50b89e2,2022-07-11,2025-03-10,,2025-10-12,simpler.grants.gov,940733ebf87aef1d
,National Institutes of Health,,Description,https://simpler.grants.gov/opportunity/565a043c-09b0-4ab0-8dbe-7be74550e2b5,2023-06-20,2025-03-10,,2025-10-12,simpler.grants.gov,9494c9cb9fcc8608
,National Institutes of Health,,Description,https://simpler.grants.gov/opportunity/a5fdd007-af1e-44d4-9397-3cd7d439e88b,2025-05-21,2025-03-10,,2025-10-12,simpler.grants.gov,94a5acc1a2034321
,National Institutes of Health,,Description,https://simpler.grants.gov/opportunity/6b21678a-a356-4171-8b30-5d99dc5b0895,2024-11-21,2025-03-10,,2025-10-12,simpler.grants.gov,94b5b1685475fb97
,National Institutes of Health,,Description,https://simpler.grants.gov/opportunity/2aaa85ab-169c-432e-806b-95a859bc94e2,2025-06-06,2025-03-10,,2025-10-12,simpler.grants.gov,94fd7b61e0279f24
,National Institutes of Health,,Description,https://simpler.grants.gov/opportunity/4fce1597-43e0-4e67-9373-ad93f1171a51,2025-07-28,2025-03-10,,2025-10-12,simpler.grants.gov,951513e33e6d4e77
,National Institutes of Health,,Description,https://simpler.grants.gov/opportunity/8901ffb6-363f-475c-a8e5-899c2d1fbdf1,2024-11-18,2025-03-10,,2025-10-12,simpler.grants.gov,9519e1cfa8bc224f
,National Institutes of Health,,Description,https://simpler.grants.gov/opportunity/e905063d-e7c8-4dbf-aa9f-a16c879e084f,2025-08-28,2025-03-10,,2025-10-12,simpler.grants.gov,95236bff8c4b2729
,Administration for Community Living,,Description,https://simpler.grants.gov/opportunity/341e9b76-ac41-43c3-8491-64554550fa3f,2025-09-05,2025-03-10,,2025-10-12,simpler.grants.gov,955b423d593677fc
,National Institutes of Health,,Description,https://simpler.grants.gov/opportunity/0d6ff094-5630-499b-8ff8-d4f7e8d62d9c,2024-11-06,2025-03-10,,2025-10-12,simpler.grants.gov,955dd9f954008ad5
,National Institutes of Health,,Description,https://simpler.grants.gov/opportunity/21233413-5552-4311-8eab-96ec6d16d288,2025-06-16,2025-03-10,,2025-10-12,simpler.grants.gov,957a710441ebcb80
,National Institutes of Health,,Description,https://simpler.grants.gov/opportunity/b2b577a9-12ef-4005-b962-2d3922b922bf,2024-11-22,2025-03-10,,2025-10-12,simpler.grants.gov,9588fb0fccad10e1
,National Institutes of Health,,Description,https://simpler.grants.gov/opportunity/e9c27c69-7360-4e0f-beb5-7ef69876f00c,2024-11-06,2025-03-10,,2025-10-12,simpler.grants.gov,95c51590399d4a33
,Food and Drug Administration,,Description,https://simpler.grants.gov/opportunity/eba5be60-4531-4ddf-aa56-6b1d419155ce,2025-02-06,2025-03-10,,2025-10-12,simpler.grants.gov,95c6be3999edc766
,National Endowment for the Humanities,,Description,https://simpler.grants.gov/opportunity/bd9b8669-87ab-48df-9385-29ed374c0e78,2024-09-30,2025-03-10,,2025-10-12,simpler.grants.gov,9638d16c9ee020b3
,U.S. Mission to the Democratic Republic of Congo,,Description,https://simpler.grants.gov/opportunity/38699563-a819-4aef-9f49-6d7299c9d7ac,2021-06-07,2025-03-10,,2025-10-12,simpler.grants.gov,967bac16ad77c068
,Golden Field Office,,Description,https://simpler.grants.gov/opportunity/f935965b-b235-4b9d-982c-20e8b89c77ba,2025-10-03,2025-03-10,,2025-10-12,simpler.grants.gov,968d007a45781e68
,Dept of the Army -- Materiel Command,,Description,https://simpler.grants.gov/opportunity/faafd0c3-eeda-4f0a-8e81-58cff40c38f4,2025-06-03,2025-03-10,,2025-10-12,simpler.grants.gov,97079c97edbaf343
,Administration for Community Living,,Description,https://simpler.grants.gov/opportunity/46484b4d-d99c-4df1-95cd-6944ce0727a0,2022-08-01,2025-03-10,,2025-10-12,simpler.grants.gov,971472be8bdefaac
,Dept. of the Army -- USAMRAA,,Description,https://simpler.grants.gov/opportunity/e4ae2823-e2f1-4aef-b76b-318914b86d0b,2025-06-05,2025-03-10,,2025-10-12,simpler.grants.gov,974bab308cdf141b
,Department of Defense,,Description,https://simpler.grants.gov/opportunity/30cc4680-3bba-4b42-8e19-c8119f1fafa0,2023-06-15,2025-03-10,,2025-10-12,simpler.grants.gov,97e3330eeccaf461
,National Institutes of Health,,Description,https://simpler.grants.gov/opportunity/6d47b76b-aa30-40bf-b46f-a9bcee92dd23,2024-10-30,2025-03-10,,2025-10-12,simpler.grants.gov,9829ab476afe8641
,National Institutes of Health,,Description,https://simpler.grants.gov/opportunity/a2506c38-931c-4b62-bfdf-2d15f4593651,2025-05-13,2025-03-10,,2025-10-12,simpler.grants.gov,985031fdad26a53b
,National Institutes of Health,,Description,https://simpler.grants.gov/opportunity/78a9c523-d495-4606-a9c2-b67724d68434,2025-05-27,2025-03-10,,2025-10-12,simpler.grants.gov,9865fc2b78073e6a
,National Institutes of Health,,Description,https://simpler.grants.gov/opportunity/44f4153f-d9bb-43dc-98f7-876bf8f9971c,2025-06-06,2025-03-10,,2025-10-12,simpler.grants.gov,9869bc1d74ae9aac
,National Institutes of Health,,Description,https://simpler.grants.gov/opportunity/122005eb-b9d4-4ccc-bfa4-794cac626544,2024-10-31,2025-03-10,,2025-10-12,simpler.grants.gov,98853bdc454f2c53
,National Institutes of Health,,Description,https://simpler.grants.gov/opportunity/f9f02d7f-4f7e-4912-b4f4-ff32fb07dd61,2024-04-25,2025-03-10,,2025-10-12,simpler.grants.gov,98c2a5957f2effbb
,National Institutes of Health,,Description,https://simpler.grants.gov/opportunity/c212a6ad-22b6-4397-a3fc-3c465f85a4f0,2024-04-23,2025-03-10,,2025-10-12,simpler.grants.gov,991eea808e6b699e
,Indian Health Service,,Description,https://simpler.grants.gov/opportunity/04ac3118-e219-4d7f-bb67-15d2f017c8e7,2025-08-14,2025-03-10,,2025-10-12,simpler.grants.gov,99277d24a436fdd3
,National Institutes of Health,,Description,https://simpler.grants.gov/opportunity/112a0e4f-edb3-44dd-9443-892840371b24,2025-09-18,2025-03-10,,2025-10-12,simpler.grants.gov,992a7c6d9f15eb79
,Dept. of the Army -- USAMRAA,,Description,https://simpler.grants.gov/opportunity/e69c3a84-c68b-4551-bc5d-36349aeca6a2,2025-06-05,2025-03-10,,2025-10-12,simpler.grants.gov,99596e3bac41e5c5
,National Institutes of Health,,Description,https://simpler.grants.gov/opportunity/1b04cdeb-7432-47b1-949a-9d823782ca2d,2025-06-12,2025-03-10,,2025-10-12,simpler.grants.gov,99a52ccca567674d
,U.S. National Science Foundation,,Description,https://simpler.grants.gov/opportunity/3a5aa6a1-c4ed-4907-8758-5bba1be09394,2019-09-19,2025-03-10,,2025-10-12,simpler.grants.gov,99a6abf18c06c8bb
,FAA-COE-AJFE,,Description,https://simpler.grants.gov/opportunity/ca1829af-e8b7-4caa-8ab4-ae6f675492e5,2023-11-13,2025-03-10,,2025-10-12,simpler.grants.gov,99db8f75243ff563
,National Endowment for the Humanities,,Description,https://simpler.grants.gov/opportunity/07b39100-f618-4c9d-8cdf-fb3e31e334d8,2025-01-24,2025-03-10,,2025-10-12,simpler.grants.gov,99f88cb5085514af
,National Institutes of Health,,Description,https://simpler.grants.gov/opportunity/1700147b-4832-40f6-8357-14a51630c62f,2025-09-30,2025-03-10,,2025-10-12,simpler.grants.gov,9a033a68873eed1c
,National Institutes of Health,,Description,https://simpler.grants.gov/opportunity/0536c0e6-e21d-4548-8511-a293babd20b8,2025-06-16,2025-03-10,,2025-10-12,simpler.grants.gov,9a8ad3636344eb09
,National Park Service,,Description,https://simpler.grants.gov/opportunity/d7877c5b-64b6-49ce-baa4-a8ccf904cc90,2025-08-27,2025-03-10,,2025-10-12,simpler.grants.gov,9af3eb15f2478780
,National Institutes of Health,,Description,https://simpler.grants.gov/opportunity/fd135574-7ecb-4710-8f7e-83a32df52d78,2025-01-13,2025-03-10,,2025-10-12,simpler.grants.gov,9b3d9bc068f4d99e
,Department of Commerce,,Description,https://simpler.grants.gov/opportunity/6cdf09e4-254a-4b7f-97d8-eac5de2919f0,2021-03-15,2025-03-10,,2025-10-12,simpler.grants.gov,9b884338e95e8753
,Idaho Field Office,,Description,https://simpler.grants.gov/opportunity/338a8211-1705-4d21-a63b-e59ffb214ba8,2016-01-14,2025-03-10,,2025-10-12,simpler.grants.gov,9b8a1578d7fe70ed
,National Institutes of Health,,Description,https://simpler.grants.gov/opportunity/bfff80db-fe94-4069-b095-ea79fe5fe2c8,2024-04-23,2025-03-10,,2025-10-12,simpler.grants.gov,9bb1389d359f9241
,National Institutes of Health,,Description,https://simpler.grants.gov/opportunity/8c5008f5-7daf-442a-b41c-01d25d20202e,2025-05-12,2025-03-10,,2025-10-12,simpler.grants.gov,9be315e0b070e7b7
,Administration for Community Living,,Description,https://simpler.grants.gov/opportunity/6d768ef6-4824-402b-bd2c-f16963ee43d8,2025-09-05,2025-03-10,,2025-10-12,simpler.grants.gov,9c00aec9f6ec0476
,National Institutes of Health,,Description,https://simpler.grants.gov/opportunity/364c3084-41cd-4e28-b1d3-065e5cfcb1bb,2025-09-03,2025-03-10,,2025-10-12,simpler.grants.gov,9c12d6ef7e35a30b
,U.S. National Science Foundation,,Description,https://simpler.grants.gov/opportunity/19553c47-f333-4b57-b6c3-74f38305903f,2023-06-29,2025-03-10,,2025-10-12,simpler.grants.gov,9c173699476799de
,National Institutes of Health,,Description,https://simpler.grants.gov/opportunity/d92cc4df-c649-46a0-9105-cdbe33b8c145,2024-11-18,2025-03-10,,2025-10-12,simpler.grants.gov,9c4e2d895f08e7bc
,Air Force -- Research Lab,,Description,https://simpler.grants.gov/opportunity/c524a261-8807-4b01-b35a-9100acc19def,2025-07-01,2025-03-10,,2025-10-12,simpler.grants.gov,9c8ae9892e7197ef
,National Institutes of Health,,Description,https://simpler.grants.gov/opportunity/4f1037d9-524c-4154-a517-9cd9e6d1e150,2024-03-22,2025-03-10,,2025-10-12,simpler.grants.gov,9c907d9b825a969c
,National Institutes of Health,,Description,https://simpler.grants.gov/opportunity/7c26831a-14db-439a-bc81-a7136441a202,2024-11-06,2025-03-10,,2025-10-12,simpler.grants.gov,9cb26ad8a958693e
,National Institutes of Health,,Description,https://simpler.grants.gov/opportunity/acb0d3ed-3dea-4b0f-a64c-fdf81d55de6b,2025-09-22,2025-03-10,,2025-10-12,simpler.grants.gov,9cbd8666fec838e9
,Centers for Disease Control and Prevention - ERA,,Description,https://simpler.grants.gov/opportunity/c2e13330-426e-4067-8f10-038a674fe6b3,2023-10-20,2025-03-10,,2025-10-12,simpler.grants.gov,9cbdab15afe5494a
,National Institutes of Health,,Description,https://simpler.grants.gov/opportunity/4b258187-e0d2-4832-9ccb-f7c821c14e87,2024-12-16,2025-03-10,,2025-10-12,simpler.grants.gov,9cc67193a0128955
,National Institutes of Health,,Description,https://simpler.grants.gov/opportunity/7cf4ba90-dba8-4cfd-bc31-5baeb10bea5f,2024-04-24,2025-03-10,,2025-10-12,simpler.grants.gov,9d3ed6d37ec02b33
,National Institutes of Health,,Description,https://simpler.grants.gov/opportunity/05a1bdcc-a705-43af-b42f-1e1aef3948f9,2022-12-28,2025-03-10,,2025-10-12,simpler.grants.gov,9d7827e9f33b62e3
,National Institutes of Health,,Description,https://simpler.grants.gov/opportunity/66891383-f6d7-4e71-957e-d404036db30f,2025-09-18,2025-03-10,,2025-10-12,simpler.grants.gov,9d9f16bf61880e84
,Agency for Health Care Research and Quality,,Description,https://simpler.grants.gov/opportunity/f73f38bb-8397-4ca7-a646-dbcee89497d1,2022-08-17,2025-03-10,,2025-10-12,simpler.grants.gov,9dd0d0e7220c11ea
,National Institutes of Health,,Description,https://simpler.grants.gov/opportunity/da7539a2-83d7-43b5-a2c6-c75c241c83db,2025-01-08,2025-03-10,,2025-10-12,simpler.grants.gov,9e1f29575d4d7039
,Forest Service,,Description,https://simpler.grants.gov/opportunity/20e0da7b-e710-4986-8048-8b8fa24c802f,2022-09-01,2025-03-10,,2025-10-12,simpler.grants.gov,9e230a349a835e78
,National Institutes of Health,,Description,https://simpler.grants.gov/opportunity/c43c1089-37c1-4666-9a65-6ecfb939e6f5,2025-06-06,2025-03-10,,2025-10-12,simpler.grants.gov,9e6be758c6ff11bf
,National Institutes of Health,,Description,https://simpler.grants.gov/opportunity/5e3d9abd-5a49-4f06-a82a-d7c050647ffe,2025-06-17,2025-03-10,,2025-10-12,simpler.grants.gov,9e8bb77d17451d2c
,Food and Drug Administration,,Description,https://simpler.grants.gov/opportunity/b44a8dff-ef17-4fc5-8f00-2526c8cce87f,2023-11-29,2025-03-10,,2025-10-12,simpler.grants.gov,9e8cb7d8eee1542e
,U.S. National Science Foundation,,Description,https://simpler.grants.gov/opportunity/5e9d4f71-e555-4c9f-9ddc-66868080e234,2019-09-11,2025-03-10,,2025-10-12,simpler.grants.gov,9e9436fe5872e03d
,National Institutes of Health,,Description,https://simpler.grants.gov/opportunity/e9f549cc-ad57-4772-a786-c7433ff40a6a,2023-11-21,2025-03-10,,2025-10-12,simpler.grants.gov,9e9e64f4c48f71e3
,National Institutes of Health,,Description,https://simpler.grants.gov/opportunity/f20d9931-367e-4103-8fef-46476a84cc59,2023-08-09,2025-03-10,,2025-10-12,simpler.grants.gov,9ec7875a582bf228
,Employment and Training Administration,,Description,https://simpler.grants.gov/opportunity/85cfae9e-d222-469b-b791-a4271fd26b29,2024-09-12,2025-03-10,,2025-10-12,simpler.grants.gov,9f562d37dd52664a
,Washington Headquarters Services,,Description,https://simpler.grants.gov/opportunity/94ae732d-369d-47b0-917d-8c2c104f5e98,2023-06-21,2025-03-10,,2025-10-12,simpler.grants.gov,9f642527ce8456c3
,Dept of the Army -- Materiel Command,,Description,https://simpler.grants.gov/opportunity/d328b689-058f-47a8-b290-fd3f7b36bafd,2024-04-05,2025-03-10,,2025-10-12,simpler.grants.gov,9f7bba7e2af81bfd
,National Institutes of Health,,Description,https://simpler.grants.gov/opportunity/94973af9-6bcf-42f1-b5e6-cc2288b9b4de,2024-11-26,2025-03-10,,2025-10-12,simpler.grants.gov,9f9f2663b6d1739a
,Bureau of Justice Assistance,,Description,https://simpler.grants.gov/opportunity/4b6b8e81-917e-4eec-b115-9140e450fcca,2025-09-11,2025-03-10,,2025-10-12,simpler.grants.gov,9ffb7b640a55c313
